"codigo_grupo_contrato","numero_grupo_contrato","tipo_contrato","tempo_locacao","codigo_cliente","cpf_cnpj","situacao","categoria","data_inicio_contrato","data_termino_contrato","periodo_atual_contrato","modificado_em"
"24668","299",Contratos CaaS,"12","136899","53920234000113",Em Vigência,Carro Por Assinatura,2026-07-11,2027-07-11,"12",
"24662","298",Contratos CaaS,"24","136857","72507268204",Em Vigência,Carro Por Assinatura,2026-07-10,2028-07-10,"24",
"24435","292",Contratos CaaS,"36","136075","52977773215",Em Vigência,Carro Por Assinatura,2026-06-30,2029-06-30,"36",
"24262","287",Contratos CaaS,"12","135050","51612019000120",Em Vigência,Carro Por Assinatura,2026-06-19,2027-06-19,"12",
"24305","289",Contratos CaaS,"12","135634","70246340223",Em Vigência,Carro Por Assinatura,2026-06-30,2027-06-30,"12",
"24523","295",Contratos CaaS,"18","136355","44197616287",Em Vigência,Carro Por Assinatura,2026-07-03,2028-01-03,"18",
"9394","259",Contratos CaaS,"24","83915","60091410282",Em Vigência,Carro Por Assinatura,2025-09-12,2027-09-12,"24",
"4718","227",Contratos CaaS,"36","53363","01941184286",Encerrado,Carro Por Assinatura,2025-04-19,2028-04-19,"36",
"2211","7",Contratos Fleet,"30","36315","09247550000184",Em Vigência,Grupo Rezende,,2029-12-31,,
"4502","221",Contratos CaaS,"12","50112","06088693258",Encerrado,Carro Por Assinatura,2025-03-24,2026-03-23,"12",
"24150","285",Contratos CaaS,"6","36555","30726803000199",Em Vigência,Carro Por Assinatura,2026-06-16,2026-12-16,"6",
"11799","261",Contratos CaaS,"1","92183","07849397215",Em Vigência,Aplicativo,2026-01-13,2026-04-13,"3",
"11532","260",Contratos CaaS,"1","90608","78876702253",Encerrado,Aplicativo,2025-12-19,2026-01-18,"1",
"3720","201",Contratos CaaS,"12","36427","34714769000193",Encerrado,Carro Por Assinatura,2025-02-01,2026-01-31,"12",
"2250","46",Contratos Fleet,"0","36426","04669925000180",Em Vigência,Grupo Rezende,2025-01-15,2029-12-31,"36",
"24637","297",Contratos CaaS,"6","73611","02176462203",Em Vigência,Carro Por Assinatura,2026-07-09,2027-01-09,"6",
"9205","256",Contratos CaaS,"12","83294","02657822100",Encerrado,Carro Por Assinatura,2025-09-04,2026-09-04,"12",
"6777","235",Contratos CaaS,"12","49349","07080050000175",Encerrado,Carro Por Assinatura,2025-05-27,2026-05-27,"12",
"2375","178",Contratos CaaS,"36","36566","02974523000164",Em Vigência,Carro Por Assinatura,2024-09-16,2027-09-15,"36",
"7887","245",Contratos Fleet,"0","36441","07782730000130",Em Vigência,Terceirização,2025-07-01,2027-06-30,"24",
"4338","218",Contratos CaaS,"12","49761","49067203000194",Encerrado,Carro Por Assinatura,2025-03-27,2026-03-27,"12",
"7247","239",Contratos Fleet,"0","36441","07782730000130",Em Vigência,Terceirização,2025-06-01,2027-05-31,"24",
"3542","198",Contratos CaaS,"12","36493","15380203272",Em Vigência,Carro Por Assinatura,2025-08-25,2026-08-24,"12",
"2314","115",Contratos Fleet,"30","36454","84526045000194",Encerrado,Terceirização,2023-06-01,2025-06-01,"24",
"7245","237",Contratos Fleet,"0","36453","07989755000100",Em Vigência,Terceirização,2025-06-01,2027-05-31,"24",
"2338","139",Contratos CaaS,"24","36433","31291580000147",Em Vigência,Carro Por Assinatura,2024-02-14,2026-07-31,"24",
"23891","278",Contratos CaaS,"12","36433","31291580000147",Em Vigência,Carro Por Assinatura,2026-06-02,2027-06-02,"12",
"2368","170",Contratos CaaS,"30","36558","10910579000183",Encerrado,Carro Por Assinatura,2024-06-29,2027-06-28,"36",
"4548","223",Contratos CaaS,"36","50299","13403460282",Em Vigência,Carro Por Assinatura,2025-03-29,2028-03-28,"36",
"4749","228",Contratos CaaS,"24","53454","57357256000178",Em Vigência,Carro Por Assinatura,2025-04-23,2027-04-23,"24",
"4616","224",Contratos CaaS,"24","50590","41337921220",Encerrado,Carro Por Assinatura,2025-04-08,2027-04-08,"24",
"4649","225",Contratos CaaS,"36","50712","44069555000165",Em Vigência,Carro Por Assinatura,2025-04-10,2028-04-10,"36",
"6558","234",Contratos CaaS,"36","56075","04571265409",Em Vigência,Carro Por Assinatura,2025-05-14,2028-05-13,"36",
"6872","236",Contratos CaaS,"24","57195","47562030278",Em Vigência,Carro Por Assinatura,2025-05-30,2027-05-29,"24",
"7508","240",Contratos CaaS,"36","65746","66663903268",Em Vigência,Carro Por Assinatura,2025-06-27,2028-06-27,"36",
"7771","243",Contratos CaaS,"36","66678","46741158000113",Em Vigência,Carro Por Assinatura,2025-07-08,2028-07-08,"36",
"7785","244",Contratos CaaS,"36","66768","02464844209",Em Vigência,Carro Por Assinatura,2025-07-09,2028-07-09,"36",
"7960","246",Contratos CaaS,"24","73611","02176462203",Em Vigência,Carro Por Assinatura,2025-07-17,2027-07-17,"24",
"2366","168",Contratos CaaS,"12","36474","63776219220",Encerrado,Carro Por Assinatura,2024-08-07,2025-08-06,"12",
"7246","238",Contratos Fleet,"0","36454","84526045000194",Em Vigência,Terceirização,2025-06-01,2027-05-31,"24",
"2468","186",Contratos CaaS,"36","36813","19682987000108",Em Vigência,Carro Por Assinatura,2024-10-25,2027-10-25,"36",
"2210","6",Contratos Fleet,"30","36314","01971223000169",Em Vigência,Grupo Rezende,2025-03-01,2029-04-01,,
